province,day,ffmc,dmc,dc,isi,bui,fwi,danger
Grosseto,2026-07-20,89.7,148.9,425.7,8.8,158.9,34.0,high
Livorno,2026-07-20,88.6,148.0,425.4,6.8,158.3,28.6,high
Siena,2026-07-20,91.3,149.8,425.8,10.7,159.4,38.7,very high
Pisa,2026-07-20,89.8,149.0,425.6,9.1,158.9,35.0,high
Arezzo,2026-07-20,90.9,149.4,425.4,10.1,159.1,37.1,high
Firenze,2026-07-20,89.8,148.9,425.3,7.1,158.8,29.6,high
Prato,2026-07-20,89.7,148.8,425.3,6.4,158.8,27.4,high
Pistoia,2026-07-20,89.1,148.4,425.0,5.9,158.5,26.2,high
Lucca,2026-07-20,89.1,148.4,425.0,7.0,158.5,29.3,high
Massa-Carrara,2026-07-20,88.6,148.1,424.9,6.7,158.2,28.4,high
Grosseto,2026-07-21,89.9,152.8,435.3,10.3,162.8,37.9,high
Livorno,2026-07-21,88.8,151.4,434.8,6.8,161.9,28.8,high
Siena,2026-07-21,92.6,155.2,435.7,15.7,164.2,49.6,very high
Pisa,2026-07-21,91.1,153.7,435.2,12.1,163.2,42.1,very high
Arezzo,2026-07-21,92.5,154.8,435.1,14.1,163.8,46.5,very high
Firenze,2026-07-21,91.3,153.6,434.9,11.8,163.2,41.4,very high
Prato,2026-07-21,89.9,152.9,434.6,9.0,162.7,34.8,high
Pistoia,2026-07-21,89.5,152.2,434.2,9.1,162.2,34.9,high
Lucca,2026-07-21,89.5,152.0,434.1,8.4,162.1,33.1,high
Massa-Carrara,2026-07-21,88.5,151.1,433.7,6.9,161.5,28.9,high
Grosseto,2026-07-22,93.1,158.4,444.9,14.1,167.6,46.5,very high
Livorno,2026-07-22,92.4,156.7,444.4,12.1,166.5,42.2,very high
Siena,2026-07-22,93.1,160.4,445.0,12.0,168.7,42.2,very high
Pisa,2026-07-22,93.0,159.1,444.8,11.2,168.0,40.5,very high
Arezzo,2026-07-22,92.1,159.0,443.8,11.8,167.8,41.8,very high
Firenze,2026-07-22,91.5,158.0,443.8,11.5,167.2,40.7,very high
Prato,2026-07-22,90.9,157.1,443.4,10.8,166.6,39.0,very high
Pistoia,2026-07-22,90.3,156.1,442.8,9.7,166.0,36.2,high
Lucca,2026-07-22,90.6,156.2,442.8,9.0,166.0,34.6,high
Massa-Carrara,2026-07-22,89.6,154.8,442.2,7.6,165.1,30.8,high
