province,day,pot_peak,pot_pyroCu,pot_deep,gate_peak,gate_pyroCu,lcl_abl,abl_m,rh_top_min
Grosseto,2026-07-20,3,62.0,0.0,2,2.7,0.88,1635.0,29.0
Livorno,2026-07-20,4,48.0,1.5,2,1.8,1.01,1052.0,30.0
Siena,2026-07-20,2,93.5,0.0,2,6.8,0.83,2528.0,27.0
Pisa,2026-07-20,4,86.3,19.3,2,3.5,1.01,1681.0,24.0
Arezzo,2026-07-20,4,93.2,2.6,2,8.8,0.81,2661.0,23.0
Firenze,2026-07-20,4,91.6,10.7,4,6.1,0.83,2139.0,24.0
Prato,2026-07-20,4,98.9,24.2,4,9.9,0.8,2203.0,28.0
Pistoia,2026-07-20,4,91.6,18.1,2,8.4,0.77,2160.0,23.0
Lucca,2026-07-20,4,66.6,2.1,3,3.9,0.77,1990.0,23.0
Massa-Carrara,2026-07-20,4,48.8,6.2,3,2.2,0.74,2029.0,23.0
Grosseto,2026-07-21,4,77.9,0.2,2,2.8,0.94,1384.0,34.0
Livorno,2026-07-21,4,67.1,1.2,2,2.1,0.96,1035.0,38.0
Siena,2026-07-21,4,93.4,7.2,4,7.6,1.02,1882.0,38.0
Pisa,2026-07-21,3,98.4,0.0,2,6.2,0.96,1554.0,39.0
Arezzo,2026-07-21,4,96.5,74.6,4,13.3,0.94,1865.0,38.0
Firenze,2026-07-21,4,81.5,23.8,4,8.7,0.88,1405.0,43.0
Prato,2026-07-21,4,100.0,25.3,4,14.3,0.83,1349.0,55.0
Pistoia,2026-07-21,4,89.1,30.7,4,11.8,0.79,1527.0,51.0
Lucca,2026-07-21,4,71.0,5.5,4,6.0,0.84,1348.0,48.0
Massa-Carrara,2026-07-21,4,61.8,1.6,0,0.0,0.82,1187.0,57.0
Grosseto,2026-07-22,4,94.5,0.5,4,4.9,0.87,2617.0,27.0
Livorno,2026-07-22,4,86.7,2.7,3,3.6,0.97,2014.0,38.0
Siena,2026-07-22,4,100.0,0.6,3,3.5,0.83,2597.0,32.0
Pisa,2026-07-22,3,99.5,0.0,3,6.2,0.88,2504.0,34.0
Arezzo,2026-07-22,4,89.6,0.5,3,6.2,0.8,2211.0,42.0
Firenze,2026-07-22,4,95.0,0.4,3,5.0,0.82,2170.0,36.0
Prato,2026-07-22,3,100.0,0.0,3,6.6,0.81,2142.0,43.0
Pistoia,2026-07-22,4,100.0,8.8,4,5.5,0.81,2133.0,40.0
Lucca,2026-07-22,4,87.1,1.2,3,9.2,0.84,2009.0,27.0
Massa-Carrara,2026-07-22,4,73.0,0.6,3,4.3,0.77,2119.0,33.0
