fire,kind,date,start_utc,area_ha,ros_max_mh,burn_ratio_max_hah,firepower_lo_GW,firepower_hi_GW,sonde,apex_m,rib_abl_m,maxrh_abl_m,lcl_m
Tortosa,WF,28/05/2024,08:30:00,90.0,1000.0,40.0,1.46,4.67,100-WF_Tortosa_Ambient_d.csv,1547,330,1324,957
Rojals,PF,21/03/2024,09:29:00,0.97,,0.2,0.01,0.02,120-PF_Rojals_Ambient_d.csv,631,200,297,1353
LaCapellania,WF,03/02/2025,20:05:00,177.0,1700.0,120.0,4.38,14.0,124-WF_LaCapellania.csv,1004,202,998,1996
ManuelRodriguez,WF,05/02/2025,18:55:00,370.0,2800.0,110.0,4.01,12.83,128-WF_ManuelRodriguez.csv,4021,200,1630,2520
Patagual,WF,08/02/2025,20:50:00,218.0,3000.0,230.0,8.39,26.83,130-WF_Patagual.csv,3436,331,2867,3013
VegaHonda,WF,06/02/2025,19:00:00,773.0,2800.0,170.0,6.2,19.83,136-WF_VegaHonda.csv,2228,352,834,3175
Junquillos,WF,10/02/2025,19:05:00,50.0,1600.0,40.0,1.46,4.67,137-WF_Junquillos.csv,1881,218,658,2588
ElValle2,WF,10/02/2025,17:50:00,4406.0,4000.0,780.0,28.44,91.0,140-WF_ElValle2.csv,2836,201,977,840
ElValle2,WF,10/02/2025,17:50:00,4406.0,4000.0,780.0,28.44,91.0,144-WF_ElValle2.csv,5148,200,216,1218
SanPatricio,WF,14/02/2025,00:00:00,1927.0,1250.0,100.0,3.65,11.67,146-WF_SanPatricio.csv,2873,1126,1197,2321
SanPatricio,WF,14/02/2025,00:00:00,1927.0,1250.0,100.0,3.65,11.67,149-WF_SanPatricio.csv,4942,638,922,1821
SanPatricio,WF,14/02/2025,00:00:00,1927.0,1250.0,100.0,3.65,11.67,151-WF_SanPatricio.csv,7555,204,1378,1936
Ede,WF,03/04/2025,13:33:00,65.0,6000.0,180.0,6.56,21.0,152-WF_Ede.csv,1326,201,1316,2243
Granyena,WF,21/06/2025,11:45:00,516.0,3000.0,190.0,6.93,22.17,158-WF_Granyena.csv,3380,212,2683,1933
Granyena,WF,21/06/2025,11:45:00,516.0,3000.0,190.0,6.93,22.17,159-WF_Granyena.csv,2933,314,2633,2041
Guissona-Ambient_d,WF,01/07/2025,15:08:00,6346.0,12.0,6000.0,218.75,700.0,160-WF_Guissona-Ambient_d.csv,3442,904,2289,449
Pauls,WF,07/07/2025,10:28:00,3140.0,2500.0,775.0,28.26,90.42,166-WF_Pauls.csv,2912,226,2136,1862
Pauls,WF,07/07/2025,10:28:00,3140.0,2500.0,775.0,28.26,90.42,167-WF_Pauls.csv,3763,2478,2431,2183
Pauls,WF,07/07/2025,10:28:00,3140.0,2500.0,775.0,28.26,90.42,169-WF_Pauls_Ambient_d.csv,1535,256,1498,1918
Martorell,WF,13/07/2021,12:15:00,197.0,1350.0,90.0,3.28,10.5,2-WF_Martorell.csv,3476,1563,3120,2183
ElPontdeVilomara,WF,17/07/2022,11:02:00,1697.0,4800.0,600.0,21.88,70.0,24-WF_ElPontdeVilomara_Ambient_d.csv,1829,679,1046,2112
Rojals,PF,21/03/2024,09:29:00,0.97,,0.2,0.01,0.02,97-PF_Rojals_Ambient_d.csv,1732,209,214,1647
