fire,new_fire,sonde,ambient_ABL_m,LCL_m,cap_gamma_Km,theta_excess_K,obs_fireABL_m,pred_fireABL_m,abs_err_m,decoupling_ratio,dt_env_min,censored,calibration_usable
CasablancaIII08,True,CasablancaIII08_In-plume1,202,2232,0.002612,9.76,890,1941,1051,4.4,41,False,False
CasablancaIII08,True,CasablancaIII08_In-plume2,202,2232,0.002612,13.08,451,2635,2184,2.23,32,False,False
CasablancaIII10,True,CasablancaIII10_In-plume1,372,4477,0.002546,3.62,1550,1597,47,4.17,145,True,False
CasablancaIII10,True,CasablancaIII10_In-plume2,372,4477,0.002546,2.67,2690,976,1714,7.24,119,True,False
CasablancaIII10,True,CasablancaIII10_In-plume3,372,4477,0.002546,4.38,2850,1769,1081,7.67,22,False,True
GranjaEscarp,True,GranjaEscarp_In-plume,363,3913,-2.7e-05,4.67,1592,1634,42,4.39,21,False,True
Rojals,True,Rojals_In-plume,211,1648,0.004668,2.52,1772,521,1251,8.4,13,True,False
SantaAna,True,SantaAna_In-plume,955,1789,0.002974,9.86,371,1628,1257,0.39,9,False,True
Martorell,False,Martorell_In-plume1,651,1838,0.000514,0.1,3442,802,2640,5.29,33,False,False
Martorell,False,Martorell_In-plume2,651,1838,0.000514,2.63,1002,3247,2245,1.54,22,False,True
